,ville,latitude,longitude,temp_max_jour1,ciel_jour1,temp_max_jour2,ciel_jour2,temp_max_jour3,ciel_jour3,temp_max_jour4,ciel_jour4,temp_max_jour5,ciel_jour5,temp_max_jour6,ciel_jour6,temp_max_jour7,ciel_jour7,temp_max_jour8,ciel_jour8
0,Uzes,44.0121279,4.4196718,12.06,nuageux,11.64,nuageux,11.89,partiellement nuageux,10.29,pluie modérée,11.03,légère pluie,12.98,ciel dégagé,16.45,partiellement nuageux,16.54,peu nuageux
1,Mont Saint Michel,48.6359541,-1.511459954959514,9.64,partiellement nuageux,8.55,nuageux,10.62,pluie modérée,9.79,pluie modérée,10.88,légère pluie,14.15,légère pluie,11.57,légère pluie,13.74,légère pluie
2,Chateau du Haut Koenigsbourg,48.249489800000006,7.34429620253195,4.69,légère pluie,3.27,peu nuageux,7.99,peu nuageux,5.55,légère pluie,6.58,légère pluie,7.88,nuageux,7.86,légère pluie,10.24,couvert
3,Ariege,42.9455368,1.4065544156065486,4.07,légère pluie,6.15,couvert,9.73,peu nuageux,2.9,pluie et neige,0.99,pluie et neige,5.23,nuageux,6.86,nuageux,10.44,peu nuageux
4,Aigues Mortes,43.5658225,4.1912837,14.12,nuageux,11.45,légère pluie,12.04,légère pluie,12.12,légère pluie,12.78,légère pluie,14.06,ciel dégagé,17.89,partiellement nuageux,14.54,ciel dégagé
5,St Malo,48.649518,-2.0260409,9.13,partiellement nuageux,8.72,nuageux,10.56,forte pluie,9.63,pluie modérée,10.81,nuageux,13.78,légère pluie,11.26,légère pluie,13.24,légère pluie
6,Bayeux,49.2764624,-0.7024738,9.09,peu nuageux,8.31,nuageux,10.15,pluie modérée,10.3,pluie modérée,9.97,partiellement nuageux,14.26,légère pluie,11.08,nuageux,12.49,légère pluie
7,Le Havre,49.4938975,0.1079732,7.9,ciel dégagé,8.37,nuageux,10.3,légère pluie,10.47,pluie modérée,9.78,légère pluie,12.56,légère pluie,9.64,légère pluie,11.31,légère pluie
8,Rouen,49.4404591,1.0939658,8.62,peu nuageux,8.23,nuageux,10.58,légère pluie,10.7,légère pluie,10.03,peu nuageux,13.87,légère pluie,10.83,légère pluie,12.96,légère pluie
9,Paris,48.8588897,2.3200410217200766,8.38,peu nuageux,8.32,couvert,11.57,couvert,10.81,légère pluie,10.19,ciel dégagé,12.16,légère pluie,12.12,légère pluie,12.3,légère pluie
